method,asr,defense_success_rate,bcr,paired_benign_fpr,multi_step_attack_total,multi_step_attack_blocked,multi_step_attack_block_rate,provenance_required_attack_total,provenance_required_attack_blocked,provenance_required_block_rate,dependency_edges_constructed,produces_edges,consumes_edges,derives_from_edges,propagated_label_count,max_provenance_depth
A0 Event-only,0.85,0.15000000000000002,1.0,0.0,120,18,0.15,100,8,0.08,0,0,0,0,0,0
A1 Event + Sequence,0.18333333333333332,0.8166666666666667,0.5333333333333333,0.4666666666666667,120,103,0.8583333333333333,100,88,0.88,0,0,0,0,0,0
A2 ATG without Provenance,0.7666666666666667,0.23333333333333328,1.0,0.0,120,28,0.23333333333333334,100,8,0.08,0,0,0,0,0,0
A3 ATG + Provenance without Labels,0.30833333333333335,0.6916666666666667,0.9916666666666667,0.008333333333333333,120,83,0.6916666666666667,100,63,0.63,91,2458,57,34,12050,2
A4 Full AgentGate,0.16666666666666666,0.8333333333333334,0.9916666666666667,0.008333333333333333,120,100,0.8333333333333334,100,80,0.8,70,2458,36,34,12220,2
