benchmark,defense,benign_task_total,benign_task_success_count,bcr,bcr_ci_low,bcr_ci_high,benign_blocked_count,benign_degraded_count,mean_tool_calls,mean_turns,mean_trajectory_length
AgentGate-StatefulBench,A4 Full AgentGate,8,7,0.875,0.5291118177871466,0.9775825085499433,1,1,3.25,4.25,3.25
AgentGate-StatefulBench,No Defense,8,8,1.0,0.6755924351161198,1.0,0,0,3.25,4.25,3.25
AgentDojo,AgentDojo Tool Filter,2,0,0.0,0.0,0.6576197724933469,2,2,0,5,0
AgentDojo,AgentGate,2,2,1.0,0.3423802275066531,1.0,0,0,3,8,3
AgentDojo,No Defense,2,2,1.0,0.3423802275066531,1.0,0,0,2,6.5,2
