mode,tool_calls,task_latency_ms,calls_per_second,p50_call_latency_ms,p95_call_latency_ms,p99_call_latency_ms,mean_call_latency_ms,process_rss_delta_bytes
No Defense (direct executor),5,0.06424542516469955,77826.55320876157,0.0034943222999572754,0.028197839856147766,0.028866007924079895,0.012033618986606598,0
AgentGate Rules-only,5,30.02594504505396,166.5226520763125,2.8397804126143456,5.760687962174416,6.09630860388279,3.66560872644186,0
AgentGate Full,5,31.20602387934923,160.2254750342859,3.963983617722988,4.814802668988705,4.903427325189114,3.9328234270215034,0
No Defense (direct executor),10,0.027651898562908173,361638.82119160687,0.0009867362678050995,0.007738266140222546,0.009118933230638504,0.0023555010557174683,0
AgentGate Rules-only,10,40.9389641135931,244.26607308023375,2.9761353507637978,3.7322854623198505,3.8315070793032646,3.0165997333824635,0
AgentGate Full,10,63.12081590294838,158.42634251394236,5.202325992286205,7.1908492129296055,7.434695875272155,5.118949431926012,0
No Defense (direct executor),20,0.03690551966428757,541924.3566255331,0.0009718351066112518,0.005597062408924105,0.008482076227664942,0.001634005457162857,0
AgentGate Rules-only,20,90.44775366783142,221.12213061089193,4.01915842667222,5.510794883593917,5.629365695640445,3.959438856691122,0
AgentGate Full,20,166.6056578978896,120.04394239874935,7.785008288919926,12.219190038740635,12.46067050844431,7.645308505743742,0
No Defense (direct executor),40,0.06165262311697006,648796.401154096,0.0009257346391677856,0.0023210421204566804,0.009632986038923262,0.0013918383046984673,0
AgentGate Rules-only,40,266.2095921114087,150.25754587858728,6.043183151632547,9.398945327848196,18.759207660332315,6.3345655566081405,0
AgentGate Full,40,553.475440479815,72.27059608159576,12.996683362871408,22.280448395758864,30.859959702938788,13.38937587570399,2097152
No Defense (direct executor),80,0.10079145431518555,793718.0839739799,0.0009210780262947083,0.0010359100997447965,0.007596593350172007,0.001137610524892807,0
AgentGate Rules-only,80,864.2307631671429,92.56786891827865,9.793395642191172,16.9989341404289,36.76505102775988,10.399411281105131,0
AgentGate Full,80,2154.392635449767,37.13343551385591,23.824613075703382,49.16869113221763,73.43794592656187,26.62075952393934,0
