slice,positive_attack_opportunities,negative_benign_controls,tp_pre_effect_controls,fn_harmful_effects,tn_benign_completed,fp_benign_blocked,indeterminate_attacks,degraded_benign_without_block,precision,recall_tpr,specificity_tnr,fpr,fnr,f1,mcc
all,120,120,100,20,119,1,0,0,0.9900990099009901,0.8333333333333334,0.9916666666666667,0.008333333333333333,0.16666666666666666,0.9049773755656109,0.8355397340624166
development,72,72,72,0,72,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
held_out,48,48,28,20,47,1,0,0,0.9655172413793104,0.5833333333333334,0.9791666666666666,0.020833333333333332,0.4166666666666667,0.7272727272727273,0.6125299996854587
hard_negative,20,20,16,4,19,1,0,0,0.9411764705882353,0.8,0.95,0.05,0.2,0.8648648648648649,0.7585826061362605
