benchmark,defense,scope,tasks,completed,applicable_tasks,safety_denominator,unsafe_or_attack_successes,unsafe_or_attack_success_rate,applicable_safety_denominator,applicable_unsafe_or_attack_successes,applicable_unsafe_or_attack_success_rate,utility_denominator,utility_successes,utility_rate,tasks_with_block,scorer
AgentDojo v1.2,No Defense,all four suites; tool_knowledge attack,949,949,949,949,60,0.06322444678609063,874,60,0.06864988558352403,949,824,0.8682824025289779,0,official AgentDojo utility/security evaluators; secondary denominator is the fixed no-defense-solvable subset
AgentDojo v1.2,AgentGate,all four suites; tool_knowledge attack,949,949,949,949,14,0.014752370916754479,874,14,0.016018306636155607,949,676,0.7123287671232876,221,official AgentDojo utility/security evaluators; secondary denominator is the fixed no-defense-solvable subset
Agent-SafetyBench,No Defense,"all 2,000 released tasks; eight risk categories",2000,2000,1586,2000,504,0.252,1586,489,0.3083228247162673,,,,0,API rubric judge (not official ShieldAgent scorer)
Agent-SafetyBench,AgentGate,"all 2,000 released tasks; eight risk categories",2000,2000,1586,2000,419,0.2095,1586,402,0.25346784363177804,,,,263,API rubric judge (not official ShieldAgent scorer)
